ID_Commande,Canal_Marketing,CAC,Impressions,Clics
M-10000,TikTok Ads,19.9,797,40
M-10001,TikTok Ads,23.27,360,18
M-10002,Google Search,47.78,345,6
M-10003,SEO/Direct,5.04,168,0
M-10004,Meta (FB/IG),33.9,908,15
M-10005,Meta (FB/IG),38.18,699,21
M-10006,TikTok Ads,20.34,453,10
M-10007,SEO/Direct,4.95,118,0
M-10008,TikTok Ads,21.64,555,35
M-10009,Meta (FB/IG),33.16,735,15
M-10010,SEO/Direct,5.37,473,3
M-10011,TikTok Ads,21.89,524,26
M-10012,TikTok Ads,21.14,187,6
M-10013,Meta (FB/IG),32.58,772,16
M-10014,Google Search,41.2,444,7
M-10015,SEO/Direct,4.95,821,2
M-10016,Google Search,45.76,288,4
M-10017,Google Search,43.52,534,10
M-10018,TikTok Ads,22.58,146,7
M-10019,Google Search,44.89,485,4
M-10020,Google Search,42.04,181,2
M-10021,Google Search,42.49,932,18
M-10022,SEO/Direct,5.0,197,0
M-10023,TikTok Ads,22.21,570,17
M-10024,Meta (FB/IG),34.23,858,30
M-10025,TikTok Ads,23.77,301,14
M-10026,SEO/Direct,5.02,436,1
M-10027,SEO/Direct,4.77,453,1
M-10028,TikTok Ads,19.91,455,14
M-10029,TikTok Ads,20.95,889,57
M-10030,Google Search,43.12,638,6
M-10031,TikTok Ads,22.12,359,13
M-10032,Google Search,44.48,104,1
M-10033,TikTok Ads,22.15,374,11
M-10034,Google Search,42.78,257,2
M-10035,TikTok Ads,20.85,874,21
M-10036,Meta (FB/IG),37.37,751,11
M-10037,SEO/Direct,4.85,827,4
M-10038,TikTok Ads,21.78,674,26
M-10039,Google Search,47.28,509,8
M-10040,SEO/Direct,4.76,452,1
M-10041,TikTok Ads,20.42,904,26
M-10042,Meta (FB/IG),36.0,636,15
M-10043,Google Search,41.24,343,6
M-10044,SEO/Direct,5.21,413,3
M-10045,SEO/Direct,4.79,568,2
M-10046,Meta (FB/IG),33.61,893,11
M-10047,TikTok Ads,23.02,415,23
M-10048,SEO/Direct,5.18,898,5
M-10049,TikTok Ads,21.29,831,30
M-10050,Meta (FB/IG),33.46,702,21
M-10051,TikTok Ads,21.84,628,22
M-10052,Meta (FB/IG),37.43,452,16
M-10053,TikTok Ads,20.95,489,24
M-10054,Meta (FB/IG),37.66,877,17
M-10055,SEO/Direct,5.45,864,4
M-10056,TikTok Ads,20.2,711,39
M-10057,Meta (FB/IG),32.97,451,16
M-10058,SEO/Direct,4.95,239,1
M-10059,SEO/Direct,4.73,917,6
M-10060,SEO/Direct,5.42,246,0
M-10061,Google Search,45.9,301,2
M-10062,SEO/Direct,5.35,398,1
M-10063,Google Search,42.42,699,13
M-10064,TikTok Ads,21.58,974,37
M-10065,Google Search,46.59,623,6
M-10066,Google Search,40.67,497,3
M-10067,TikTok Ads,22.55,912,24
M-10068,SEO/Direct,5.19,858,3
M-10069,Google Search,43.74,601,6
M-10070,Meta (FB/IG),37.85,925,20
M-10071,TikTok Ads,21.77,649,41
M-10072,TikTok Ads,21.98,302,9
M-10073,SEO/Direct,5.04,857,3
M-10074,TikTok Ads,22.13,571,27
M-10075,SEO/Direct,4.91,371,1
M-10076,Meta (FB/IG),35.26,264,6
M-10077,TikTok Ads,22.39,865,56
M-10078,SEO/Direct,4.67,958,4
M-10079,Google Search,42.03,555,9
M-10080,TikTok Ads,22.57,956,39
M-10081,Meta (FB/IG),35.42,987,13
M-10082,Google Search,43.19,566,7
M-10083,TikTok Ads,23.64,455,30
M-10084,Google Search,42.88,734,7
M-10085,TikTok Ads,22.01,156,5
M-10086,Google Search,48.16,566,9
M-10087,Google Search,42.5,194,3
M-10088,SEO/Direct,4.87,939,4
M-10089,TikTok Ads,20.7,352,19
M-10090,TikTok Ads,23.72,964,51
M-10091,Meta (FB/IG),36.73,924,23
M-10092,Meta (FB/IG),31.79,962,16
M-10093,Meta (FB/IG),33.01,822,17
M-10094,TikTok Ads,22.57,300,14
M-10095,Meta (FB/IG),34.53,563,17
M-10096,SEO/Direct,4.6,879,6
M-10097,SEO/Direct,5.39,808,2
