Order ID,Category,Sub-Category
M-10000,Clothing,Saree
M-10001,Furniture,Bookcases
M-10002,Clothing,Saree
M-10003,Clothing,Saree
M-10004,Furniture,Chairs
M-10005,Clothing,Saree
M-10006,Clothing,Saree
M-10007,Clothing,Saree
M-10008,Furniture,Bookcases
M-10009,Furniture,Bookcases
M-10010,Furniture,Bookcases
M-10011,Electronics,Electronic Games
M-10012,Furniture,Chairs
M-10013,Clothing,Saree
M-10014,Clothing,Saree
M-10015,Clothing,Saree
M-10016,Furniture,Bookcases
M-10017,Clothing,Saree
M-10018,Furniture,Chairs
M-10019,Furniture,Chairs
M-10020,Furniture,Bookcases
M-10021,Furniture,Bookcases
M-10022,Electronics,Electronic Games
M-10023,Furniture,Bookcases
M-10024,Furniture,Chairs
M-10025,Clothing,Saree
M-10026,Furniture,Bookcases
M-10027,Furniture,Bookcases
M-10028,Furniture,Chairs
M-10029,Clothing,Saree
M-10030,Furniture,Bookcases
M-10031,Furniture,Bookcases
M-10032,Furniture,Bookcases
M-10033,Furniture,Bookcases
M-10034,Furniture,Bookcases
M-10035,Electronics,Electronic Games
M-10036,Furniture,Bookcases
M-10037,Furniture,Chairs
M-10038,Furniture,Bookcases
M-10039,Clothing,Saree
M-10040,Furniture,Bookcases
M-10041,Clothing,Saree
M-10042,Clothing,Saree
M-10043,Furniture,Bookcases
M-10044,Electronics,Electronic Games
M-10045,Electronics,Electronic Games
M-10046,Furniture,Bookcases
M-10047,Furniture,Bookcases
M-10048,Electronics,Electronic Games
M-10049,Furniture,Bookcases
M-10050,Furniture,Chairs
M-10051,Furniture,Bookcases
M-10052,Furniture,Chairs
M-10053,Furniture,Chairs
M-10054,Furniture,Bookcases
M-10055,Clothing,Saree
M-10056,Furniture,Chairs
M-10057,Furniture,Chairs
M-10058,Clothing,Saree
M-10059,Electronics,Electronic Games
M-10060,Clothing,Saree
M-10061,Furniture,Bookcases
M-10062,Furniture,Bookcases
M-10063,Furniture,Chairs
M-10064,Furniture,Chairs
M-10065,Furniture,Bookcases
M-10066,Furniture,Bookcases
M-10067,Furniture,Bookcases
M-10068,Electronics,Electronic Games
M-10069,Furniture,Bookcases
M-10070,Furniture,Bookcases
M-10071,Furniture,Bookcases
M-10072,Furniture,Bookcases
M-10073,Electronics,Electronic Games
M-10074,Clothing,Saree
M-10075,Furniture,Chairs
M-10076,Furniture,Chairs
M-10077,Clothing,Saree
M-10078,Furniture,Bookcases
M-10079,Furniture,Chairs
M-10080,Clothing,Saree
M-10081,Furniture,Bookcases
M-10082,Furniture,Chairs
M-10083,Furniture,Bookcases
M-10084,Furniture,Chairs
M-10085,Furniture,Bookcases
M-10086,Furniture,Bookcases
M-10087,Furniture,Bookcases
M-10088,Furniture,Bookcases
M-10089,Clothing,Saree
M-10090,Electronics,Electronic Games
M-10091,Furniture,Chairs
M-10092,Electronics,Electronic Games
M-10093,Furniture,Bookcases
M-10094,Furniture,Chairs
M-10095,Clothing,Saree
M-10096,Electronics,Electronic Games
M-10097,Furniture,Chairs
M-10098,Electronics,Electronic Games
M-10099,Furniture,Bookcases
M-10100,Furniture,Bookcases
M-10101,Clothing,Saree
M-10102,Furniture,Bookcases
M-10103,Electronics,Electronic Games
M-10104,Furniture,Bookcases
M-10105,Furniture,Bookcases
M-10106,Electronics,Electronic Games
M-10107,Furniture,Bookcases
M-10108,Electronics,Electronic Games
M-10109,Furniture,Bookcases
M-10110,Electronics,Electronic Games
M-10111,Furniture,Bookcases
M-10112,Clothing,Saree
M-10113,Furniture,Chairs
