Order ID,Category,Sub-Category
M-10000,Furniture,Bookcases
M-10001,Furniture,Chairs
M-10002,Furniture,Chairs
M-10003,Furniture,Chairs
M-10004,Furniture,Bookcases
M-10005,Furniture,Bookcases
M-10006,Furniture,Bookcases
M-10007,Furniture,Bookcases
M-10008,Furniture,Bookcases
M-10009,Furniture,Chairs
M-10010,Clothing,Saree
M-10011,Clothing,Saree
M-10012,Clothing,Saree
M-10013,Furniture,Chairs
M-10014,Furniture,Bookcases
M-10015,Furniture,Bookcases
M-10016,Furniture,Bookcases
M-10017,Furniture,Bookcases
M-10018,Furniture,Bookcases
M-10019,Clothing,Saree
M-10020,Furniture,Chairs
M-10021,Clothing,Saree
M-10022,Furniture,Bookcases
M-10023,Electronics,Electronic Games
M-10024,Furniture,Bookcases
M-10025,Clothing,Saree
M-10026,Furniture,Bookcases
M-10027,Clothing,Saree
M-10028,Furniture,Chairs
M-10029,Furniture,Bookcases
M-10030,Furniture,Bookcases
M-10031,Furniture,Chairs
M-10032,Furniture,Bookcases
M-10033,Electronics,Electronic Games
M-10034,Furniture,Chairs
M-10035,Furniture,Bookcases
M-10036,Furniture,Bookcases
M-10037,Clothing,Saree
M-10038,Electronics,Electronic Games
M-10039,Furniture,Chairs
M-10040,Clothing,Saree
M-10041,Electronics,Electronic Games
M-10042,Furniture,Bookcases
M-10043,Electronics,Electronic Games
M-10044,Clothing,Saree
M-10045,Electronics,Electronic Games
M-10046,Furniture,Bookcases
M-10047,Clothing,Saree
M-10048,Furniture,Chairs
M-10049,Clothing,Saree
M-10050,Furniture,Bookcases
M-10051,Electronics,Electronic Games
M-10052,Clothing,Saree
M-10053,Furniture,Chairs
M-10054,Furniture,Chairs
M-10055,Furniture,Chairs
M-10056,Furniture,Bookcases
M-10057,Electronics,Electronic Games
M-10058,Furniture,Bookcases
M-10059,Furniture,Bookcases
M-10060,Furniture,Bookcases
M-10061,Clothing,Saree
M-10062,Clothing,Saree
M-10063,Clothing,Saree
M-10064,Clothing,Saree
M-10065,Furniture,Chairs
M-10066,Clothing,Saree
M-10067,Furniture,Bookcases
M-10068,Furniture,Bookcases
M-10069,Furniture,Bookcases
M-10070,Electronics,Electronic Games
M-10071,Furniture,Bookcases
M-10072,Electronics,Electronic Games
M-10073,Furniture,Chairs
M-10074,Furniture,Bookcases
M-10075,Electronics,Electronic Games
M-10076,Furniture,Chairs
M-10077,Clothing,Saree
M-10078,Clothing,Saree
M-10079,Electronics,Electronic Games
M-10080,Furniture,Bookcases
M-10081,Furniture,Bookcases
M-10082,Electronics,Electronic Games
M-10083,Furniture,Chairs
M-10084,Furniture,Bookcases
M-10085,Electronics,Electronic Games
M-10086,Furniture,Chairs
M-10087,Furniture,Chairs
M-10088,Furniture,Chairs
M-10089,Furniture,Bookcases
M-10090,Furniture,Chairs
M-10091,Furniture,Bookcases
M-10092,Furniture,Chairs
M-10093,Furniture,Bookcases
M-10094,Furniture,Chairs
M-10095,Clothing,Saree
M-10096,Furniture,Chairs
M-10097,Furniture,Bookcases
M-10098,Furniture,Bookcases
M-10099,Furniture,Bookcases
M-10100,Furniture,Chairs
M-10101,Furniture,Chairs
M-10102,Furniture,Chairs
M-10103,Clothing,Saree
M-10104,Furniture,Chairs
M-10105,Electronics,Electronic Games
M-10106,Clothing,Saree
M-10107,Furniture,Bookcases
M-10108,Furniture,Chairs
M-10109,Furniture,Bookcases
M-10110,Furniture,Bookcases
M-10111,Furniture,Chairs
M-10112,Furniture,Chairs
M-10113,Electronics,Electronic Games
M-10114,Clothing,Saree
M-10115,Furniture,Bookcases
M-10116,Furniture,Chairs
M-10117,Furniture,Bookcases
M-10118,Furniture,Bookcases
M-10119,Clothing,Saree
M-10120,Clothing,Saree
M-10121,Furniture,Chairs
M-10122,Electronics,Electronic Games
M-10123,Clothing,Saree
M-10124,Furniture,Bookcases
M-10125,Furniture,Bookcases
M-10126,Furniture,Chairs
M-10127,Furniture,Chairs
M-10128,Furniture,Chairs
M-10129,Clothing,Saree
M-10130,Clothing,Saree
M-10131,Electronics,Electronic Games
M-10132,Furniture,Bookcases
M-10133,Electronics,Electronic Games
M-10134,Clothing,Saree
M-10135,Furniture,Bookcases
M-10136,Furniture,Bookcases
M-10137,Furniture,Bookcases
